Motif,TF
E4F1_Q6,E4f1
EBF_Q6,Ebf1;Ebf2;Ebf3;Ebf4
EBOX_Q6_01,Nmyc2;Hand1;Hand2;Mxd1;Mxd3;Mxd4;Ascl1;Ascl2;Max;Mitf;Mxi1;Myc;Myf5;Myf6;Myod1;Myog;Nhlh1;Mycn;Stra13;Bhlhe40;Tcfe3;Tal1;Tal2;Tcf12;Tcf4;Tcf3;Tcfeb;Tff3;Usf1;Usf2;Arid5b;Bhlhe41
EFC_Q6,Rfx1
EGR_Q6,Egr1;Egr2;Egr3;Foxc1
EGR1_01,Egr1;Foxc1
EGR2_01,Egr2;Foxc1
EGR3_01,Egr3;Foxc1
ELF1_Q6,Elf1
ELK1_01,Elk1
ELK1_02,Elk1
ELK1_03,Elk1
ELK1_04,Elk1
EN1_01,En1
ER_Q6,Esr1;Sfn
ER_Q6_02,Esr1;Esr2;Sfn
ERR1_Q2,Esrra
ETF_Q6,Tead2
ETS_Q4,Elf1;Elk1;Elk4;Erf;Erg;Fli1;Cuzd1;Ets1;Ets2;Elf2
ETS_Q6,Elf1;Elk1;Elk3;Elk4;Erg;Etv6;Fli1;Gabpa;Gabpb1;Cuzd1;Mpp1;Etv4;Sfpi1;Slc6a2;Gabpb2;Ets1;Ets2;Spib;Elf4;Elf2
ETS1_B,Ets1
ETS2_B,Ets2
EVI1_01,Mecom;Foxc1
EVI1_02,Mecom;Foxc1
EVI1_03,Mecom;Foxc1
EVI1_04,Mecom;Foxc1
EVI1_05,Mecom;Foxc1
EVI1_06,Mecom;Foxc1
FAC1_01,Foxc1;Bptf
FOX_Q2,Foxh1;Foxf2;Foxd3;Foxj1;Foxf1a
FOXD3_01,Foxd3
FOXJ2_01,Foxj2
FOXJ2_02,Foxj2
FOXM1_01,Foxm1
FOXO1_01,Foxo1
FOXO1_02,Foxo1
FOXO3_01,Foxo3
FOXO3A_Q1,Foxo3
FOXO4_01,Foxo4
FOXO4_02,Foxo4
FOXP1_01,Foxp1
FOXP3_Q4,Foxp3
FREAC2_01,Foxf2
FREAC3_01,Foxc1
FREAC4_01,Foxd1
FREAC7_01,Foxl1
FXR_IR1_Q6,For1;Nr1h4
FXR_Q3,Nr1h4
GABP_B,Gabpa;Gabpb2
GATA_C,Gata1;Gata2;Gata3
GATA_Q6,Gata1;Gata2;Gata3;Gata4;Gata5;Gata6;Qrsl1
GATA1_01,Gata1
GATA1_02,Gata1
GATA1_03,Gata1
GATA1_04,Gata1
GATA1_05,Gata1
GATA1_06,Gata1
GATA2_01,Gata2
GATA2_02,Gata2
GATA2_03,Gata2
GATA3_01,Gata3
GATA3_02,Gata3
GATA3_03,Gata3
GATA4_Q3,Gata4
GATA6_01,Gata6
GC_01,Gc
GCM_Q2,Gcm2;Gcm1
GCNF_01,Nr6a1
GEN_INI_B,-
GEN_INI2_B,-
GEN_INI3_B,-
GFI1_01,Gfi1;Foxc1
GFI1_Q6,Gfi1;Gfi1b;Foxc1
GFI1B_01,Gfi1b;Foxc1
GLI_Q2,Gli1;Gli2;Gli3;Foxc1;Glis1
GR_01,gr;Nr3c1
GR_Q6,gr;Nr3c1
GR_Q6_01,gr;Nr3c1
GRE_C,gr;Nr3c1
GZF1_01,Gzf1
HAND1E47_01,Hand1;Tcf3
HEB_Q6,Tcf12
HELIOSA_01,Foxc1;Ikzf2
HELIOSA_02,Foxc1;Ikzf2
HEN1_01,Nhlh1
HEN1_02,Nhlh1
HES1_Q2,Hes1
HFH1_01,Foxq1
HFH3_01,Foxi1
HFH4_01,Foxj1
HFH8_01,Foxf1a
HIC1_02,Hic1
HIC1_03,Hic1
HIF1_Q3,Hif1a
HIF1_Q5,Hif1a
HLF_01,Hlf
HMEF2_Q6,Mef2a;Mef2c
HMGIY_Q3,Hmga1;Hmga2
HMGIY_Q6,Hmga1;Hmga2
HMX1_01,Hmx3
HNF1_01,Hnf1a;Tcf7
HNF1_C,Hnf1a;Tcf7
HNF1_Q6,Hnf1a;Hnf1b;Tcf7
HNF1_Q6_01,Hnf1a;Hnf1b;Tcf7
HNF3_Q6,Foxa1;Foxa2;Foxa3
HNF3_Q6_01,Foxa1;Foxa2;Foxa3
HNF3ALPHA_Q6,Foxa1
HNF3B_01,Foxa2
HNF4_01,Hnf4a
HNF4_01_B,Hnf4a
HNF4_DR1_Q3,Hnf4a;Hnf4g
HNF4_Q6,Nr2f2;Nr2f1;Hnf4a;Hnf4g
HNF4_Q6_01,Hnf4a
HNF4_Q6_02,Hnf4a
HNF4_Q6_03,Hnf4a
HNF4ALPHA_Q6,Hnf4a
HNF6_Q6,Onecut1;Onecut2
HOX13_01,Hoxa5
HOXA3_01,Hoxa;Hoxa3
HOXA4_Q2,Hoxa;Hoxa4
HOXA7_01,Hoxa7
HP1SITEFACTOR_Q6,Hp
HSF_Q6,Hsf1
HSF1_01,Hsf1
HSF1_Q6,Hsf1
HSF2_01,Hsf2
HTF_01,Xbp1
ICSBP_Q6,Irf8;Tbpl1
IK_Q5,Foxc1;Ikzf1
IK1_01,Kcnn4;Foxc1;Ikzf1
IK2_01,Foxc1;Ikzf1
IK3_01,Foxc1;Ikzf1
IPF1_Q4,Pdx1
IPF1_Q4_01,Pdx1
IRF_Q6,Irf8;Irf1;Irf2;Irf4;Tbpl1;Irf5;Irf7;Irf3;Irf6
IRF_Q6_01,Irf8;Irf1;Irf2;Irf4;Irf9;Tbpl1;Irf5;Irf7;Irf3
IRF1_01,Irf1;Tbpl1
IRF1_Q6,Irf1;Tbpl1
IRF2_01,Irf2;Tbpl1
IRF7_01,Tbpl1;Irf7
ISRE_01,-
KAISO_01,Zbtb33
KID3_01,Zfp354c;Strn4
KROX_Q6,Egr1;Egr2;Egr3;Egr4;Foxc1
LBP1_Q6,Tcfcp2
LDSPOLYA_B,-
LEF1_Q2,Lef1;Tcf7;Tcf7l1;Tcf3
LEF1_Q2_01,Lef1
LEF1TCF1_Q4,Lef1;Tcf7
LFA1_Q6,Itgal
LHX3_01,Lhx3
LMAF_Q2,Mafa
LMO2COM_01,Lmo2;Pdlim5
LMO2COM_02,Lmo2;Pdlim5
LPOLYA_B,-
LRF_Q2,Zbtb7a
LRH1_Q5,Nr5a2
LUN1_01,Topors
LXR_DR4_Q3,Nr1h3
LXR_Q3,Nr1h3;Nr1h2
LYF1_01,Foxc1;Ikzf1
MAF_Q6,Maf
MAF_Q6_01,Bach1;Bach2;Mafb;Maf;Maff;Mafg;Mafk;Nfe2;Nfe2l1;Nfe2l2;Nfe2l3;Nrf1
MAX_01,Max
MAZ_Q6,Maz;Foxc1
MAZR_01,Patz1
MEF2_01,Mef2a;Mef2c
MEF2_02,Mef2a;Mef2c
MEF2_03,Mef2a;Mef2c
MEF2_04,Mef2a;Mef2c
MEF2_Q6_01,Mef2a;Mef2c;Mef2d
MEF3_B,-
MEIS1_01,Meis1
MEIS1AHOXA9_01,Hoxa9;Meis1
MEIS1BHOXA9_02,Hoxa9;Meis1
MIF1_01,Gm4924
MINI19_B,-
MINI20_B,-
MIZF_01,Hinfp
MMEF2_Q6,Mef2a;Mef2c
MOVOB_01,Ovol2;Foxc1
MRF2_01,Arid5b
MSX1_01,Msx1
MTATA_B,-
MTF1_Q4,Foxc1;Mtf1
MUSCLE_INI_B,-
MYB_Q3,Myb;Tbpl1
MYB_Q5_01,Myb;Mybl2;Tbpl1
MYB_Q6,Myb;Tbpl1
MYC_Q2,Max;Myc
MYCMAX_01,Max;Myc
MYCMAX_02,Max;Myc
MYCMAX_03,Max;Myc
MYCMAX_B,Max;Myc
MYOD_01,Myod1
MYOD_Q6,Myod1
MYOD_Q6_01,Myf6;Myod1;Myog;Tcf3
MYOGENIN_Q6,Myog
MYOGNF1_01,Nf1;Nfia;Nfib;Nfic
MZF1_01,Mzf1;Foxc1
MZF1_02,Mzf1;Foxc1
NANOG_01,Nanog
NCX_01,Tlx2
NERF_Q2,Elf2
NF1_Q6,Nf1;Nfia;Nfic
NF1_Q6_01,Ctf1;Nf1;Nfia;Nfic;Ctf2
